Name	Set	ImageFile	OfficialSet	Type	Brigade	Strength	Toughness	Class	Identifier	SpecialAbility	Rarity	Reference	Sound	Alignment	Legality
Aaron's Staff (CoW)	CoW	Aarons_Staff_(CoW)	Cloud of Witnesses	Artifact					Tabernacle, Solomon's Temple, X=# of your Tabernacle Priests	Once per turn, if your good Tabernacle Priest enters battle, reveal the top X cards of opponent's deck: Put Lost Souls in play and discard an evil card. Good Tabernacle Priests cannot be negated.	Rare	Hebrews 9:4		Neutral	Rotation
Abaddon the Destroyer (L)	Main UL	Abaddon_the_Destroyer_(UL)	Main Unlimited	Evil Character	Black	10	10				Rare	Revelation 9:11		Evil	
Abaddon the Destroyer (UL)	Main	Abaddon_the_Destroyer_(UL)	Main	Evil Character	Black	10	10				Rare	Revelation 9:11		Evil	
Abaddon, the Destroyer (RoJ AB)	RoJ (AB)	RoJ_AB_N116-Abaddon-the-Destroyer-R	Revelation of John (Alternate Border)	Evil Character	Orange	10	10	Warrior	Demon, King	Negate a good or neutral card. You may search deck or Reserve for an evil Fortress or Revelation demon. May band to Locust from the Pit. Cannot be negated.	Rare	Revelation 9:11		Evil	Rotation
Abaddon, the Destroyer (RoJ)	RoJ	116-Abaddon-the-Destroyer-R	Revelation of John	Evil Character	Orange	10	10	Warrior	Demon, King	Negate a good or neutral card. You may search deck or Reserve for an evil Fortress or Revelation demon. May band to Locust from the Pit. Cannot be negated.	Rare	Revelation 9:11		Evil	Rotation
Abandoned (1st Print - K)	K1P	K13-1P-Abandoned	K Starter (1st Print)	GE/EE	Green/Purple (Pale Green)	4 (0)	0 (4)			Negate a card.	Starter	I Samuel 30:11		Neutral	Rotation
Abandoned [K]	K	K13-Abandoned	K Starter	GE/EE	Green/Purple/Pale Green	4 (0)	0 (4)			Negate a card.	Starter	I Samuel 30:11		Neutral	Rotation
Abandonment (EC)	TEC	Abandonment_(EC)	Early Church	EE	Black/Gold	1	1			Withdraw all Heroes in battle. Cannot be negated if more than one Hero is in battle.	Rare	Acts 27:2		Evil	Rotation
Abandonment (L)	Main	Abandonment_(UL)	Main	EE	Gold	1	1			Evil Character repels Red Brigade.	Rare	Romans 1:31-32		Evil	
Abandonment (Roots)	RR	156-Abandonment.jpg	Roots	EE	Black	1	5			Negate all other cards in battle.		Acts 27:20		Evil	Rotation
Abandonment (UL)	Main UL	Abandonment_(UL)	Main Unlimited	EE	Gold	1	1			Evil Character repels Red Brigade.	Rare	Romans 1:31-32		Evil	
Abdon	FoOF	Abdon_(FF)	Faith of Our Fathers	Hero	Gold	8	4		Judge	This Hero may use good Enhancements with a Judges reference, regardless of color. Cannot be negated.	Fixed	Judges 12:13		Good	
Abducted Subjects (LoC)	LoC	LoC_232-Abducted-Subjects	Lineage of Christ	EE	Crimson	2	4			Capture a human (or 2 humans if used by an Edomite) to a player.	Common	II Chronicles 28:17		Evil	Rotation
Abed-nego (Azariah) (PoC)	PoC	150-Abed-Nego(Azariah)	Prophecies of Christ	Hero	White	5	7	Cloud		You may underdeck the top card of deck to topdeck a good Daniel card from Reserve. Protect Lost Souls from evil cards. May band to a Daniel human.	Common	Daniel 2:49		Good	Rotation
Abednego (Azariah)	FoOF	Abednego_(Azariah)_(FF)	Faith of Our Fathers	Hero	White	5	7			Protect all Heroes from conversion and removal from game. May band to a Hero with a Daniel reference. Cannot be negated by an evil card.	Fixed	Daniel 2:49		Good	
Abel ( C)	2E	Abel_(CU)	2nd Edition	Hero	Green	6	5				Deck	Genesis 4:4		Good	
Abel (CoW AB)	CoW (AB)	CoW_AB_N40-Abel	Cloud of Witnesses (Alternate Border)	Hero	Blue/Green	4	4	Cloud	Antediluvian, Prophet	Negate search abilities on characters and Enhancements. You may discard a good Enhancement from hand to protect Cloud Heroes from special abilities on evil cards (except discard).	Common	Genesis 4:4		Good	Rotation
Abel (CoW)	CoW	Abel_(CoW)	Cloud of Witnesses	Hero	Blue/Green	4	4		Antediluvian, Prophet	Negate search abilities on characters and Enhancements. You may discard a good Enhancement from hand to protect Cloud Heroes from special abilities on evil cards (except discard).	Common	Genesis 4:4		Good	Rotation
Abel (Pi)	Pri	Abel_(Pi)	Priests	Hero	Green	6	5		Prophet	You may discard a good card from hand to protect Abel from capture and conversion for remainder of the game.  Cannot be negated.	Uncommon	Genesis 4:4		Good	
Abel's Sacrifice	Pat	Abel's_Sacrifice_(Pa)	Patriarchs	GE	Green					Abel's Sacrifice and all good enhancements played after it this turn may not be interrupted or prevented.	Uncommon	Genesis 4:4		Good	
Abeyance (Roots)	RR	139-Abeyance.jpg	Roots	GE	White	1	5			Reserve all Evil Characters in battle.		Ruth 1:15		Good	Rotation
Abiathar	Pri	Abiathar_(Pi)	Priests	Hero	Teal	5	4		Tabernacle High Priest, House of Ithamar	Protect this Hero from discard abilities and remove from game abilities.  Cannot be interrupted.	Uncommon	I Samuel 22:20-23		Good	
Abiathar (1st Print - K)	K1P	K27-1P-Abiathar	K Starter (1st Print)	Hero	Purple	2	4		House of Ithamar, Tabernacle High Priest	You may look at a hand or take a good O.T. card from Reserve.	Starter	I Samuel 22:21		Good	Rotation
Abiathar [K]	K	K27-Abiathar	K Starter	Hero	Purple	2	4		Tabernacle High Priest, House of Ithamar	You may look at a hand or take a good O.T. card from Reserve.	Starter	I Samuel 22:21		Good	Rotation
Abiathar, the Survivor	IR	056-Abiathar-the-Survivor	Israel's Rebellion	Hero	Clay	3	4		Tabernacle High Priest	Protect O.T. priests from evil discard abilities. May band to a Tabernacle priest, or you may take an O.T. clay Enhancement from Reserve.	Common	I Samuel 22:20		Good	Rotation
Abiezer (Ki)	Ki	Abiezer_(Ki)	Kings	Hero	Blue	7	3	Warrior		Hero is immune to Crimson Brigade.	Uncommon	I Chronicles 27:12		Good	
Abiezer (Wa)	War	Abiezer_(Wa)	Warriors	Hero	Blue	7	3			Hero is immune to Crimson Brigade.	Uncommon	I Chronicles 27:12		Good	
Abigail (1st Print - K)	K1P	K29-1P-Abigail	K Starter (1st Print)	Hero	Purple	9	7		Queen of Israel and Judah	You may choose an Evil Character to block.	Starter	I Samuel 25:42		Good	Rotation
Abigail (RoA)	RoA	Abigail_(RA2)	Rock of Ages	Hero	Purple	4	12		Israelite Royalty, X = # of your O.T. Warrior class Heroes	You may draw X (limit 3). Protect characters in your territory and Lost Souls in opponent's territory from evil cards. May band to David.	Fixed	I Samuel 25:32		Good	
Abigail (Wo)	Wom	Abigail_(Wo)	Women	Hero	Red	4	7			All Heroes gain 0/6 when Abigail is in the Field of Battle including this one.	Common	I Samuel 25:32		Good	
Abigail [K]	K	K29-Abigail	K Starter	Hero	Purple	9	7		Queen of Israel and Judah	You may take a good I Samuel Enhancement from deck.	Starter	I Samuel 25:42		Good	Rotation
Abihu ( C)	2E	Abihu_(C)	2nd Edition	Evil Character	Gray	6	6				Deck	Numbers 3:4		Evil	
Abihu (L)	Main	Abihu_(UL)	Main	Evil Character	Gray	6	6				Uncommon	Numbers 3:4		Evil	
Abihu (Pi)	Pri	Abihu_(Pi)	Priests	Evil Character	Gray	6	6		Priest	If Nadab is in battle, you may remove all cards in battle from the game.	Uncommon	Numbers 3:4		Evil	
Abihu (UL)	Main UL	Abihu_(UL)	Main Unlimited	Evil Character	Gray	6	6				Uncommon	Numbers 3:4		Evil	
Abihu, the Disobedient	IR	107-Abihu-the-Disobedient	Israel's Rebellion	Evil Character	Gray	9	10		Tabernacle Priest, Wilderness	Protect evil priests from the next good Enhancement played. If 2 or more good brigades are in battle, you may reserve a good card in a territory.	Common	Leviticus 10:1		Evil	Rotation
Abihud, the Progeny / Abihud, the Exilarch (LoC)	LoC	LoC_100-Abihud	Lineage of Christ	Hero	Gold (Gold/Red)	3(10)	2(10)	Star	O.T., Postexilic	STAR: Topdeck a gold card from Reserve. TOP: You may banish an evil card from a discard pile to discard an evil card from a Reserve. May band to a meek gold Hero. BOTTOM: Meek	Common	Matthew 1:13		Good	Rotation
Abijah, son of Samuel	Pri	Abijah_son_of_Samuel_(Pi)	Priests	Evil Character	Crimson	4	7		Israelite Judge	Each time opponent plays an Enhancement in battle, you may draw a card.	Uncommon	Exodus 4:14		Evil	
Abijah, the Conqueror / Abijam, the Half-Hearted (LoC)	LoC	LoC_041-Abijam	Lineage of Christ	Hero/Evil Character	Purple/Red/Brown	4(3)	3(4)	Warrior	King of Judah (King of Judah, X = # of your meek Lost Souls)	HERO: Take a City. Good weapons cannot be negated while an evil warrior is blocking. EC: If blocking, you may take an idol or evil female from deck or draw X (limit 3).	Common	II Chronicles 12:16/II Kings 14:31		Neutral	Rotation
Abimelech (Pa)	Pat	Abimelech_(Pa)	Patriarchs	Evil Character	Gray	5	6			Evil Character repels all Heroes with a Judges reference.	Common	Judges 9:3		Evil	
Abimelech (RoA)	RoA	Abimelech_(RA2)	Rock of Ages	Evil Character	Black/Brown	5	3	Warrior	Canaanite King, Israelite Judge	If Gideon is in your discard pile, negate and discard an Artifact or single color Site. If you win this battle, you may discard an evil card.	Fixed	Judges 9:3		Evil	
Abimelech, King of Gerar (LoC)	LoC	LoC_174-Abimelech	Lineage of Christ	Evil Character	Black	2	2	Warrior, Star	Philistine King	STAR: Bounce an Artifact or Site. EC: You may play a Genesis Philistine from deck (or Reserve if a patriarch is in play). May band to a Philistine.	Common	Genesis 20:14		Evil	Rotation
Abiram	10A	Abiram_(H)	10th Anniversary	Evil Character	Brown	5	7				Deck	Numbers 16:12		Evil	
Abiram, the Stubborn	IR	094-Abiram-the-Stubborn	Israel's Rebellion	Evil Character	Brown	7	9		Wilderness	You may reserve an O.T. Curse from hand or deck to protect this card from Heroes. May band to an evil wilderness human.	Common	Numbers 16:12		Evil	Rotation
Abishai (1st Print - K)	K1P	K28-1P-Abishai	K Starter (1st Print)	Hero	Purple	8	11	Warrior		You may exchange this card with a I Samuel Hero from Reserve or discard pile.	Starter	I Samuel 26:6		Good	Rotation
Abishai (Ki)	Ki	Abishai_(Ki)	Kings	Hero	Red	8	8	Warrior		Discard Ishbibenob.  May band to any red-brigade warrior class Hero.	Common	I Chronicles 11:20		Good	
Abishai (Wa)	War	Abishai_(Wa)	Warriors	Hero	Red	8	8			May band with Joab and/or Asahel.	Common	I Chronicles 11:20		Good	
Abishai [K]	K	K28-Abishai	K Starter	Hero	Purple	8	11	Warrior	Giant Slayer	You may exchange this card with a I Samuel Hero from Reserve or discard pile.	Starter	I Samuel 26:6		Good	Rotation
Abishai's Spear	Ki	Abishai's_Spear_(Ki)	Kings	GE	Red	3	2	Weapon		Protect all red brigade Heroes not in battle from harm.	Common	II Samuel 23:18		Good	
Abner (Ki)	Ki	Abner_(Ki)	Kings	Evil Character	Brown	9	8	Warrior	Israelite Commander	Character has first strike ability.  Ability cannot be negated unless Joab is in battle.	Uncommon	I Samuel 14:50		Evil	
Abner (Pa)	Pat	Abner_(Pa)	Patriarchs	Evil Character	Brown	6	4				Uncommon	I Samuel 14:50		Evil	
Abner, the Commander (Roots)	RR	158-Abner.jpg	Roots	Evil Character	Brown	9	8	Warrior		Negate a good card. If alone, you may choose an O.T. Hero to attack. Cannot be prevented.		I Samuel 14:50		Evil	Rotation
Abner's Spear (Ki)	Ki	Abner's_Spear_(Ki)	Kings	EE	Brown	3	2	Weapon		Holder may discard Abner's Spear to discard a male Hero in battle with abilities of */4 or less.	Common	II Samuel 2:23		Evil	
Abner's Spear (Wa)	War	Abner's_Spear_(Wa)	Warriors	EE	Brown	2	4				Common	II Samuel 2:23		Evil	
Abomination of Desolation	RoA	Abomination_of_Desolation_(RA)	Rock of Ages	EE	Black				False Religious Practice, Limit of one in Territory	If used by a Greek, place in opponent's territory. Each time opponent draws cards (except during draw phase), you may discard a card in that territory except a Lost Soul.	Fixed	Daniel 11:31		Evil	
Abraham (CoW AB)	CoW (AB)	CoW_AB_N66-Abraham-R	Cloud of Witnesses (Alternate Border)	Hero	Blue	12	12	Warrior, Cloud	Patriarch, Prophet	Negate opponent’s neutral cards. Search deck for a Genesis 12-24 Hero. May band to a Genesis 12-24 Hero. Cannot be negated.	Rare	Genesis 17:5		Good	Rotation
Abraham (CoW)	CoW	Abraham_(CoW)	Cloud of Witnesses	Hero	Blue	12	12	Warrior, Cloud	Patriarch, Prophet	Negate opponent's neutral cards. Search deck for a Genesis 12-24 Hero. May band to a Genesis 12-24 Hero. Cannot be negated.	Rare	Genesis 17:5		Good	Rotation
Abraham’s Deceit (LoC)	LoC	LoC_225-Abrahams-Deceit	Lineage of Christ	EE	Black	1	1			You may negate and discard a Hero or a good Enhancement.	Common	Genesis 20:11		Evil	Rotation
Abraham's Descendant	Di	Abraham's_Descendant_(Di)	Disciples	GE	Blue	3	3	Territory	Prophesy	Interrupt a Curse or Evil Enhancement in play and add it to your hand.  Search each discard pile for a good Enhancement and place them beneath owners' decks.	Fixed	Genesis 12:3		Good	
Abraham's Descendant (LoC)	LoC	LoC_126-Abrahams-Descendant-R	Lineage of Christ	GE	Blue/Red	3	3	Territory, Star		STAR: Reveal hand: If there is no Hero, take one from deck. GE: Negate an evil Enhancement or a Curse. Bounce it or take it. Hero may band to any number of Genesis Heroes.	Rare	Genesis 12:3		Good	Rotation
Abraham's Servant to Ur	Pat	Abraham's_Servant_to_Ur_(Pa)	Patriarchs	GE	Blue	2	3			All special abilities except banding on characters and enhancements, except this one, are negated.  Battle is determined by the numbers.	Rare	Genesis 24:10		Good	
Abraham's Servant to Ur (LoC)	LoC	LR37-Abrahams-Servant-to-Ur	Lineage of Christ	GE	Blue	2	3			Negate abilities (except band abilities) on characters and other Enhancements.	Legacy Rare	Genesis 24:10		Good	Rotation
Abram, the Blameless (Roots)	RR	036-Abram.jpg	Roots	Hero	Blue	10	11	Warrior	Patriarch, Prophet	Negate Lost Souls. Protect this card from evil O.T. humans. Cannot be prevented.		Genesis 17:1		Good	Rotation
Abram's Army	Pmo-P2	Abrams_Army_(Promo)	Promo	Hero	Blue/Red	4	4	Warrior	Generic	You may release a captured Hero to negate and discard a single-color Site, Artifact or evil card. Cannot be interrupted by O.T. Evil Characters.	Promo	Genesis 14:14		Good	Rotation
Abram/Abraham	Pat	Abram_Abraham_(Pa)	Patriarchs	Hero	Blue	5/10	6/11			Hero starts as Abram.  After he makes a successful rescue, he becomes Abraham and can interrupt and prevent all special abilities on all Lost Soul cards except the Proverbs 22:14 Lost Souls card.	Ultra Rare	Genesis 17:4-5		Good	
Absalom (Ki)	Ki	Absalom_(Ki)	Kings	Evil Character	Pale Green	6	7	Warrior	Israelite Royalty	May band with any Evil Character with a reference from 2 Samuel 14-18.  While Absalom is in play, David cannot enter battle.	Uncommon	II Samuel 15:12		Evil	
Absalom (Wa)	War	Absalom_(Wa)	Warriors	Evil Character	Pale Green	6	7			May band with Shimei or Ahithophel (not both).	Uncommon	II Samuel 15:12		Evil	
Absalom's Soldiers	Ki	Absalom's_Soldiers_(Ki)	Kings	Evil Character	Pale Green	5	4	Warrior		Place David beneath owner's draw pile.  May band to Absalom's Soldier.	Uncommon	II Samuel 15:12		Evil	
Abusive Soldiers (GoC)	GoC	217-Abusive-Soldiers	Gospel of Christ	Evil Character	Gold	2	1	Warrior	Generic, Gospel	You may reserve a Hero from opponent’s hand. Protect gold Evil Characters from the next good Enhancement played in battle.	Common	Luke 23:11		Evil	Rotation
Abusive Taskmaster (1st Print - K)	K1P	K36-1P-Abusive-Taskmaster	K Starter (1st Print)	Evil Character	Pale Green	8	9		Generic, Egyptian	Negate a Hero.	Starter	Exodus 2:11		Evil	Rotation
Abusive Taskmaster [K]	K	K36-Abusive-Taskmaster	K Starter	Evil Character	Pale Green	8	9		Generic, Egyptian	Negate a Hero. You may topdeck an evil card from Reserve.	Starter	Exodus 2:11		Evil	Rotation
Abusive Taskmasters	Pat	Abusive_Taskmasters_(Pa)	Patriarchs	EE	Gold	2	4			Selected Hero decreases 1/1 for every evil enhancement currently in battle, until the end of the turn.	Common	Exodus 1:11		Evil	
Accursed of God	PoC	044-Accursed-of-God	Prophecies of Christ	EE	Brown/Pale Green	3	3			(Star) Exchange this card with a Curse from Reserve. (EE) Discard a Hero. Cannot be prevented if a Curse is in play.	Common	Deuteronomy 21:22-23 (Galatians 3:13)		Evil	Rotation
Achaicus	TEC	Achaicus	Early Church	Hero	Clay	5	5		X=# of characters set aside by this card	Set aside any number of your Corinth Heroes for one turn. One retrun, reveal the top X cards of an opponent's deck; put Lost Souls in play and underdeck the rest.	Common	I Corinthians 16:17		Good	Rotation
Achan (I)	I	Achan_(I)	I	Evil Character	Brown	3	4	Warrior			Deck	Joshua 7:18		Evil	Rotation
Achan (Pa)	Pat	Achan_(Pa)	Patriarchs	Evil Character	Pale Green	5	6			Joshua's strength (*/) is reduced by 5 while Achan remains in play.	Common	Joshua 7:18		Evil	
Achan's Sin (I)	I	Achan's_Sin_(I)	I	EE	Brown	1	1			Negate the last good card played this battle. Discard all cards in battle.	Deck	Joshua 7:25		Evil	Rotation
Achan's Sin (Pa)	Pat	Achan's_Sin_(Pa)	Patriarchs	EE	Pale Green	1	1			Interrupt the battle and remove all cards in battle from the game.	Rare	Joshua 7:25		Evil	
Achim, the Compiler / Achim, the Talmid (LoC)	LoC	LoC_101-Achim-R	Lineage of Christ	Hero	Gold (Gold/Red)	4(8)	5(7)	Territory, Star	O.T., Postexilic, X = # of evil cards in opponent’s banish pile (O.T., Postexilic)	STAR: Topdeck an O.T. card from a Reserve. TOP: While you control a meek Hero, negate opponents’ neutral cards. If attacking, you may draw X (limit 3). BOTTOM: Meek	Rare	Matthew 1:14		Good	Rotation
Acts of Manasseh (LoC)	LoC	LoC_048-Acts-of-Manasseh-R	Lineage of Christ	GE/EE	Purple/Brown			Territory	Unity: Lost Souls (Meek)	Place in territory: You may discard this card to negate and discard an Enhancement or the last Enhancement played. Cannot be negated if used by a dual icon character.	Rare	II Chronicles 33:18		Neutral	Rotation
Acts of Uzziah	Ki	Acts_of_Uzziah_(Ki)	Kings	GE	Purple	3	1			Discard Household Idols.  Return all Evil Characters in set aside areas to owner's territory at face value.	Common	II Chronicles 26:22		Good	
Adam	Pat	Adam_(Pa)	Patriarchs	Hero	Red	8	4			Adam may band to Eve.	Common	Genesis 2:7		Good	
Adam (FoM)	FoM	001-Adam	Fall of Man	Hero	Blue	1	X		Antediluvian, X = # of humans in play	Protect Adam from non-humans. You may topdeck an antediluvian human or a Genesis 1-7 Enhancement from Reserve. May band to Eve. Cannot be interrupted by a human.	Common	Genesis 2:7		Good	Rotation
Adam, the Exile / Adam (Man) (LoC)	LoC	LoC_076-Adam	Lineage of Christ	Hero	Blue (Blue/Red)	10(1)	2(3)	Star	Antediluvian	STAR: Topdeck a human from Reserve. TOP: You may take a * human from deck. May band to an antediluvian or a meek blue Hero. Cannot be interrupted. BOTTOM: Meek	Common	Genesis 2:7		Good	Rotation
Adino (Ki)	Ki	Adino_(Ki)	Kings	Hero	Red	6	6	Warrior		If Adino is holding a spear he gains 3/3 and prevents all special abilities except banding on non-weapon class enhancements.	Common	II Samuel 23:8		Good	
Adino (L)	Main	Adino_(UL)	Main	Hero	Red	6	6				Uncommon	II Samuel 23:8		Good	
Adino (UL)	Main UL	Adino_(UL)	Main Unlimited	Hero	Red	6	6				Uncommon	II Samuel 23:8		Good	
Adino's Spear (Ki)	Ki	Adino's_Spear_(Ki)	Kings	GE	Red	3	2	Weapon		Hero is immune to Gold Brigade.	Common	II Samuel 23:8		Good	
Adino's Spear (Wa)	War	Adino's_Spear_(Wa)	Warriors	GE	Red	3	3			Hero is immune to Gold Brigade.	Common	II Samuel 23:8		Good	
Adjourn	TEC	Adjourn_(EC)	Early Church	EE	Black	0	X		X = # of your Greek Evil Characters	Paralyze X Heroes in opponent's territory for 2 turns. If all Evil Characters in battle are Greek, end the battle.	Common	Acts 17:32		Evil	Rotation
Adjourn (Roots)	RR	153-Adjourn.jpg	Roots	EE	Black	3	2			You may negate a good card or withdraw all Heroes. Cannot be prevented if used by a Greek.		Acts 17:32		Evil	Rotation
Admiral	AW	Admiral_(AW)	Angel Wars	Evil Character	Brown	6	7	Warrior		Kingdoms of this World fortresses do not protect Evil Characters this turn.  You may release your demon from any evil fortress in play or set aside area and band it into battle.	Common	I Corinthians 10:20		Evil	
Adonijah	Pmo-P1	Adonijah_(Promo)	Promo	Evil Character	Black	8	11		Israelite Royalty	Look at opponent's hand. Convert Joab to a black brigade Evil Character. May band to Joab. Cannot be interrupted.	Promo	I Kings 1:41		Evil	
Adonijah, the Usurper (Roots)	RR	159-Adonijah.jpg	Roots	Evil Character	Brown	8	11		Royalty	You may convert an O.T. human in a territory to a brown Evil Character this turn. May band to that character.		I Kings 1:5		Evil	Rotation
Afflicting Spirit (GoC)	GoC	161-Afflicting-Spirit	Gospel of Christ	Evil Character	Black/Orange	4	2		Canaanite, Demon, Generic, Gospel	You may exchange a Hero in battle with opponent’s Hero. After battle, you may place this card on a good card: Negate that card (and paralyze it if it is a Hero).	Common	Matthew 15:22		Evil	Rotation
Affliction of Job (RoJ AB)	RoJ (AB)	RoJ_AB_N40-Affliction-of-Job	Revelation of John (Alternate Border)	GE/EE	Blue/Brown	1	4	Territory	X = # of opponent’s brigades	Search deck or discard pile for Dust and Ashes. If used during battle, decrease an opposing character X/X.	Common	Job 2:7-8		Neutral	Rotation
Affliction of Job (RoJ)	RoJ	40-Affliction-of-Job	Revelation of John	GE/EE	Blue/Brown	1	4	Territory	X = # of opponent's  brigades	Search deck or discard pile for Dust and Ashes. If used during battle, decrease an opposing character X/X.	Common	Job 2:7-8		Neutral	Rotation
Agabus	Prp	Agabus_(Pr)	Prophets	Hero	Green	5	4				Uncommon	Acts 21:10		Good	
Agabus (PC)	TPC	Agabus_(PC)	Persecuted Church	Hero	Clay/Green	5	4		Prophet, Jerusalem	Negate O.T. Artifacts. You may reveal a hand: if it contains a card with a capture or decrease ability, search discard pile for an Enhancement with one of those abilities.	Rare	Acts 21:10		Good	Rotation
